Index,Name,Band,PC,RA,DEC,Flux,Quality
514,J1625+415,U,A,16h25m57.669700s,41d34m40.629220s,0.9,S
515,J1626-298,U,A,16h26m06.020843s,-29d51m26.971080s,2.2,P
516,J1629+679,U,C,16h29m51.8440s,67d57m14.948s,0.15,X
517,J1631+494,U,A,16h31m16.539894s,49d27m39.515860s,0.4,W
518,J1632+825,U,A,16h32m31.969981s,82d32m16.399900s,0.6,S
519,J1634+627,U,C,16h34m33.8029s,62d45m35.903s,0.5,S
520,J1635+381,U,A,16h35m15.492973s,38d08m04.500600s,3.3,P
521,J1637+472,U,A,16h37m45.130564s,47d17m33.831340s,1.0,S
522,J1638+573,U,A,16h38m13.456293s,57d20m23.979180s,1.7,P
523,J1638+625,U,C,16h38m28.2058s,62d34m44.318s,nan,S
524,J1639+865,U,C,16h39m25.1184s,86d31m53.194s,0.0,X
525,J1640+397,U,A,16h40m29.632771s,39d46m46.028540s,1.5,P
526,J1640+123,U,A,16h40m47.938850s,12d20m02.078870s,0.45,P
527,J1642-063,U,C,16h42m02.1770s,-06d21m23.810s,1.74,P
528,J1642+689,U,A,16h42m07.848514s,68d56m39.756400s,1.2,P
529,J1642+398,U,A,16h42m58.809951s,39d48m36.993950s,13.0,S
530,J1646+409,U,A,16h46m56.858695s,40d59m17.172100s,0.5,S
531,J1646-224,U,T,16h46m04.7335s,-22d27m59.903s,0.0,X
532,J1650-297,U,A,16h50m39.544144s,-29d43m46.954940s,1.0,S
533,J1651+014,U,A,16h51m03.662382s,01d29m23.458780s,0.5,S
534,J1653+397,U,A,16h53m52.216688s,39d45m36.608900s,1.2,P
535,J1657+570,U,A,16h57m20.708915s,57d05m53.503730s,0.4,?
536,J1658+347,U,A,16h58m01.419204s,34d43m28.402400s,0.2,W
537,J1658+476,U,A,16h58m02.779610s,47d37m49.231340s,1.3,P
538,J1658+076,U,A,16h58m09.011458s,07d41m27.540720s,1.3,P
539,J1658+052,U,A,16h58m33.447350s,05d15m16.444450s,0.6,S
540,J1700+685,U,C,17h00m09.292901s,68d30m06.962420s,0.2,W
541,J1700-261,U,A,17h00m53.154055s,-26d10m51.725110s,0.8,S
542,J1707+456,U,A,17h07m17.753418s,45d36m10.552760s,0.5,S
543,J1707+018,U,A,17h07m34.415277s,01d48m45.699230s,1.0,S
544,J1710+460,U,T,17h10m44.0516s,46d01m29.588s,0.0,X
545,J1714-252,U,C,17h14m47.8570s,-25d14m35.144s,0.17,W
546,J1716+218,U,B,17h16m11.190687s,21d52m13.667720s,0.5,S
547,J1716+686,U,A,17h16m13.938002s,68d36m38.744580s,0.8,S
548,J1719+177,U,A,17h19m13.048469s,17d45m06.436980s,0.9,P
549,J1719+082,U,A,17h19m52.206219s,08d17m03.553930s,0.5,S
550,J1721+357,U,A,17h21m09.491039s,35d42m16.063500s,0.5,S
551,J1727+455,U,A,17h27m27.650808s,45d30m39.731390s,1.6,P
552,J1728+122,U,A,17h28m07.051218s,12d15m39.486000s,0.5,S
553,J1728+502,U,B,17h28m18.623853s,50d13m10.470010s,0.2,X
554,J1728+044,U,A,17h28m24.952716s,04d27m04.914010s,0.8,S
555,J1733-130,U,B,17h33m02.705790s,-13d04m49.548230s,11.0,P
556,J1734+389,U,A,17h34m20.578534s,38d57m51.443100s,1.22,P
557,J1734+094,U,A,17h34m58.376995s,09d26m58.260060s,0.3,S
558,J1735+508,U,A,17h35m49.005180s,50d49m11.565860s,0.7,S
559,J1737+063,U,A,17h37m13.729042s,06d21m03.572370s,0.5,S
560,J1739+499,U,A,17h39m27.390494s,49d55m03.368280s,0.6,S
561,J1739+476,U,A,17h39m57.129066s,47d37m58.361210s,0.9,S
562,J1740+521,U,A,17h40m36.977850s,52d11m43.407500s,0.8,S
563,J1743-309,U,C,17h43m17.8801s,-30d58m17.697s,0.18,W
564,J1743-038,U,A,17h43m58.856137s,-03d50m04.616680s,3.8,P
565,J1744-312,U,C,17h44m23.5826s,-31d16m35.986s,0.59,S
566,J1745+173,U,A,17h45m35.208181s,17d20m01.423410s,0.7,P
567,J1745-290,U,C,17h45m40.0383s,-29d00m28.069s,1.0,X
568,J1747+469,U,A,17h47m26.647281s,46d58m50.926300s,0.6,S
569,J1748+700,U,A,17h48m32.840231s,70d05m50.768820s,0.5,S
570,J1749+433,U,A,17h49m00.360410s,43d21m51.286880s,0.3,W
571,J1751+096,U,A,17h51m32.818573s,09d39m00.728510s,4.5,P
572,J1751-253,U,B,17h51m51.263047s,-25d24m00.060610s,0.13,W
573,J1753+441,U,A,17h53m22.647901s,44d09m45.686080s,0.8,S
574,J1753+288,U,A,17h53m42.473634s,28d48m04.939080s,0.6,S
575,J1800+388,U,A,18h00m24.765367s,38d48m30.697590s,1.9,P
576,J1800+784,U,A,18h00m45.683918s,78d28m04.018510s,3.0,P
577,J1801+440,U,A,18h01m32.314854s,44d04m21.900310s,1.0,X
578,J1804+010,U,A,18h04m15.984606s,01d01m32.407340s,0.6,S
579,J1805+110,U,T,18h05m06.4458s,11d01m31.642s,0.0,X
580,J1806+698,U,A,18h06m50.680650s,69d49m28.108520s,1.6,X
581,J1809+279,U,A,18h09m11.978599s,27d58m11.799580s,0.3,W
582,J1811-209,U,T,18h11m06.8000s,-20d55m03.444s,0.0,X
583,J1820-097,U,T,18h20m38.1071s,-09d47m17.071s,0.0,X
584,J1821+397,U,B,18h21m59.700633s,39d45m59.656800s,0.1,W
585,J1823+796,U,B,18h23m14.108717s,79d38m49.002450s,0.4,W
586,J1824+107,U,A,18h24m02.855259s,10d44m23.774010s,0.5,S
587,J1824+568,U,A,18h24m07.068372s,56d51m01.490880s,1.2,S
588,J1829+487,U,C,18h29m31.7832s,48d44m46.161s,2.5,X
589,J1830+063,U,A,18h30m05.939885s,06d19m15.952480s,0.5,S
590,J1830-360,U,C,18h30m58.8829s,-36d02m30.132s,0.0,X
591,J1832-105,U,C,18h32m20.8360s,-10d35m11.200s,1.25,P
592,J1832+139,U,A,18h32m43.471121s,13d57m44.400300s,0.5,S
593,J1832+285,U,A,18h32m50.185631s,28d33m35.955300s,0.4,S
594,J1833-210,U,C,18h33m39.9150s,-21d03m40.050s,5.22,S
595,J1834-126,U,T,18h34m19.2165s,-12d37m40.945s,0.0,X
596,J1842+681,U,A,18h42m33.641636s,68d09m25.227880s,0.9,S
597,J1845+356,U,A,18h45m35.108870s,35d41m16.726510s,0.2,X
598,J1848+323,U,A,18h48m22.088579s,32d19m02.603500s,0.8,S
599,J1848+327,U,A,18h48m34.361172s,32d44m00.139320s,0.5,S
600,J1849+670,U,A,18h49m16.072300s,67d05m41.679930s,1.0,S
601,J1850+284,U,A,18h50m27.589807s,28d25m13.155570s,0.7,S
602,J1851+005,U,C,18h51m46.7217s,00d35m32.414s,1.1,?
603,J1854+738,U,A,18h54m57.299946s,73d51m19.907470s,0.7,S
604,J1902+319,U,A,19h02m55.938870s,31d59m41.702090s,1.1,X
605,J1911-201,U,A,19h11m09.652893s,-20d06m55.109070s,1.8,P
606,J1922+155,U,B,19h22m34.699188s,15d30m10.032130s,0.7,S
607,J1924+334,U,C,19h24m17.4839s,33d29m29.724s,0.7,S
608,J1924+156,U,A,19h24m39.455877s,15d40m43.941290s,0.4,S
609,J1924-292,U,A,19h24m51.055957s,-29d14m30.121150s,17.0,P
610,J1925+211,U,A,19h25m59.605370s,21d06m26.162180s,1.8,P
611,J1927+612,U,A,19h27m30.442628s,61d17m32.879210s,0.6,S
612,J1927+739,U,B,19h27m48.495196s,73d58m01.569960s,2.0,P
613,J1928+088,U,A,19h28m40.855498s,08d48m48.413060s,0.2,W
614,J1931+227,U,A,19h31m24.916790s,22d43m31.258870s,0.5,S
615,J1933+150,U,C,19h33m21.8176s,15d04m46.513s,0.17,W
616,J1935+205,U,A,19h35m10.472879s,20d31m54.154300s,0.4,W
617,J1937-399,U,A,19h37m16.217362s,-39d58m01.553060s,0.4,S
618,J1939-154,U,A,19h39m26.657740s,-15d25m43.058320s,1.0,P
619,J1939-100,U,A,19h39m57.256573s,-10d02m41.521100s,0.25,X
620,J1941-154,U,T,19h41m15.0289s,-15d24m31.309s,0.0,X
621,J1945+709,U,B,19h45m53.519959s,70d55m48.732040s,0.3,W
622,J1950+081,U,A,19h50m05.5403s,08d07m13.981s,0.6,S
623,J1953+356,U,A,19h53m30.875716s,35d37m59.358390s,0.3,S
624,J1955+139,U,A,19h55m11.571408s,13d58m16.240800s,0.4,S
625,J1955+515,U,A,19h55m42.738273s,51d31m48.546230s,1.2,S
626,J1956-324,U,C,19h56m59.4858s,-32d25m46.277s,0.5,S
627,J1957+336,U,A,19h57m40.549950s,33d38m27.944030s,0.2,W
628,J1957-387,U,A,19h57m59.819271s,-38d45m06.356260s,1.5,S
629,J2000-178,U,A,20h00m57.090448s,-17d48m57.672510s,0.9,S
630,J2002+474,U,A,20h02m10.418290s,47d25m28.773400s,0.9,S
631,J2003-328,U,A,20h03m24.116306s,-32d51m45.132310s,0.6,S
632,J2005+778,U,A,20h05m30.998519s,77d52m43.247610s,1.6,P
633,J2006+644,U,A,20h06m17.694614s,64d24m45.417870s,0.9,P
634,J2007+404,U,B,20h07m44.944851s,40d29m48.604140s,2.3,S
635,J2009+724,U,A,20h09m52.303874s,72d29m19.351050s,0.7,S
636,J2011-067,U,A,20h11m14.215847s,-06d44m03.555190s,0.49,X
637,J2011-157,U,A,20h11m15.710931s,-15d46m40.253820s,1.1,P
638,J2012+464,U,A,20h12m05.637448s,46d28m55.776970s,2.0,P
639,J2015+371,U,C,20h15m28.7333s,37d10m59.505s,2.59,P
640,J2015+341,U,A,20h15m28.831855s,34d10m39.409850s,0.4,S
641,J2016+165,U,A,20h16m13.860024s,16d32m34.112730s,0.6,S
642,J2022+616,U,B,20h22m06.681679s,61d36m58.804700s,2.0,P
643,J2023+318,U,A,20h23m19.017351s,31d53m02.305950s,1.7,P
644,J2023+544,U,A,20h23m55.844024s,54d27m35.828990s,1.1,P
645,J2024+173,U,A,20h24m56.563449s,17d18m13.197600s,0.8,S
646,J2025+032,U,A,20h25m09.632168s,03d16m44.505300s,0.4,W
647,J2025+337,U,A,20h25m10.842097s,33d43m00.214540s,2.5,P
648,J2031+549,U,A,20h31m47.958562s,54d55m03.140600s,0.5,S
649,J2031+123,U,A,20h31m54.994279s,12d19m41.340430s,0.8,S
650,J2035+109,U,A,20h35m22.333316s,10d56m06.789170s,0.4,S
651,J2035+189,U,C,20h35m33.9804s,18d57m05.351s,0.0,X
652,J2038+513,U,A,20h38m37.034755s,51d19m12.662690s,3.3,S
653,J2040-251,U,A,20h40m08.772872s,-25d07m46.662820s,0.4,S
654,J2048+431,U,C,20h48m19.5274s,43d10m42.073s,0.15,X
655,J2049+100,U,A,20h49m45.864995s,10d03m14.398900s,0.9,S
656,J2050+041,U,A,20h50m06.240603s,04d07m48.890510s,0.4,S
657,J2050+314,U,A,20h50m51.131466s,31d27m27.372780s,0.4,S
658,J2051+177,U,A,20h51m35.582917s,17d43m36.900710s,0.4,W
659,J2052+365,U,A,20h52m52.054995s,36d35m35.300210s,0.9,S
660,J2057+509,U,T,20h57m19.9994s,50d58m16.221s,0.0,X
661,J2101+036,U,A,21h01m38.834187s,03d41m31.321590s,0.71,S
662,J2101-423,U,B,21h01m59.114191s,-42d19m16.161870s,0.2,X
663,J2107+422,U,T,21h07m01.5930s,42d14m10.186s,0.0,X
664,J2109+355,U,A,21h09m31.878732s,35d32m57.597420s,1.5,P
665,J2109-411,U,A,21h09m33.188582s,-41d10m20.605300s,1.5,P
666,J2114-256,U,T,21h14m40.0404s,-25d41m48.835s,0.0,X
667,J2115+295,U,A,21h15m29.413455s,29d33m38.366940s,0.7,S
668,J2123+055,U,A,21h23m44.517391s,05d35m22.093210s,7.0,P
669,J2125+643,U,A,21h25m27.447062s,64d23m39.354150s,0.6,S
670,J2129-156,U,A,21h29m12.175902s,-15d38m41.040850s,0.7,S
671,J2129-183,U,A,21h29m21.419099s,-18d21m22.790190s,0.25,X
672,J2130+050,U,B,21h30m32.877499s,05d02m17.474690s,0.6,S
673,J2131-206,U,T,21h31m01.4866s,-20d36m56.376s,0.0,X
674,J2131-121,U,A,21h31m35.261758s,-12d07m04.795880s,3.5,P
675,J2134-018,U,A,21h34m10.309614s,-01d53m17.238900s,2.1,P
676,J2136+006,U,B,21h36m38.586299s,00d41m54.213350s,4.0,P
677,J2137-207,U,C,21h37m50.0018s,-20d42m31.751s,0.4,S
678,J2139+143,U,A,21h39m01.309267s,14d23m35.991990s,1.8,P
679,J2142-046,U,A,21h42m36.901689s,-04d37m43.512810s,0.2,X
680,J2146-154,U,A,21h46m22.979340s,-15d25m43.885260s,0.4,S
681,J2147+094,U,A,21h47m10.162971s,09d29m46.672450s,0.6,S
682,J2148+069,U,A,21h48m05.458679s,06d57m38.604220s,3.0,P
683,J2148+611,U,C,21h48m16.0454s,61d07m05.838s,0.8,S
684,J2150+148,U,C,21h50m23.6016s,14d49m47.908s,0.1,X
685,J2151+071,U,A,21h51m31.429323s,07d09m26.783920s,0.5,S
686,J2151+058,U,A,21h51m37.875501s,05d52m12.954350s,0.3,S
687,J2151-304,U,A,21h51m55.524001s,-30d27m53.698170s,0.7,S
688,J2152+175,U,A,21h52m24.819405s,17d34m37.794820s,0.8,S
689,J2156+485,U,T,21h56m37.9064s,48d30m27.590s,0.0,X
690,J2158-150,U,A,21h58m06.281901s,-15d01m09.328090s,1.3,P
691,J2201+508,U,A,22h01m43.537273s,50d48m56.388690s,0.6,S
692,J2202+422,U,A,22h02m43.291377s,42d16m39.979940s,3.5,P
693,J2203+317,U,A,22h03m14.975790s,31d45m38.269940s,1.1,S
694,J2203+626,U,T,22h03m20.9623s,62d40m34.271s,0.0,X
695,J2203+174,U,A,22h03m26.893691s,17d25m48.247840s,1.7,P
696,J2206-185,U,B,22h06m10.417082s,-18d35m38.746520s,2.2,S
697,J2209+377,U,A,22h09m21.425073s,37d42m18.225670s,0.4,W
698,J2212+239,U,A,22h12m05.966318s,23d55m40.543880s,0.5,S
699,J2213-254,U,A,22h13m02.497951s,-25d29m30.079710s,1.3,P
700,J2216+353,U,A,22h16m20.009910s,35d18m14.180560s,0.25,X
701,J2217+243,U,A,22h17m00.821186s,24d21m45.958090s,0.7,S
702,J2217+023,U,A,22h17m48.237969s,02d20m10.712670s,0.5,S
703,J2218-035,U,A,22h18m52.037725s,-03d35m36.879410s,1.5,P
704,J2219-279,U,T,22h19m40.9420s,-27d56m26.860s,0.15,X
705,J2225+213,U,A,22h25m38.047132s,21d18m06.414850s,0.6,S
706,J2225-049,U,A,22h25m47.259291s,-04d57m01.390730s,6.6,P
707,J2226+008,U,A,22h26m46.537050s,00d52m11.331960s,0.5,S
708,J2229-085,U,A,22h29m40.084346s,-08d32m54.435410s,1.4,P
709,J2230+697,U,A,22h30m36.469725s,69d46m28.076980s,1.1,P
710,J2230-397,U,A,22h30m40.278593s,-39d42m52.067240s,0.6,S
711,J2232+117,U,B,22h32m36.408914s,11d43m50.904100s,3.4,S
712,J2236+284,U,A,22h36m22.470860s,28d28m57.413290s,1.5,P
713,J2236-145,U,A,22h36m34.087168s,-14d33m22.189590s,0.4,W
714,J2241+413,U,A,22h41m07.205247s,41d20m11.618220s,0.4,S
715,J2241+098,U,A,22h41m49.717334s,09d53m52.445290s,0.6,S
716,J2243-257,U,A,22h43m26.408781s,-25d44m30.687300s,nan,S
717,J2245+034,U,A,22h45m28.284772s,03d24m08.864310s,0.3,S
718,J2246-121,U,A,22h46m18.231976s,-12d06m51.277340s,2.6,P
719,J2247+031,U,A,22h47m58.682108s,03d10m42.353940s,0.8,S
720,J2248-325,U,A,22h48m38.685732s,-32d35m52.187830s,0.4,S
721,J2249+211,U,A,22h49m00.566733s,21d07m02.835470s,0.8,S
722,J2250+143,U,T,22h50m25.5400s,14d19m50.600s,0.6,S
723,J2250+714,U,T,22h50m32.5870s,71d29m19.060s,0.0,X
724,J2253+161,U,A,22h53m57.747932s,16d08m53.560890s,15.0,P
725,J2254+247,U,A,22h54m09.341903s,24d45m23.422800s,0.65,S
726,J2255+420,U,A,22h55m36.707856s,42d02m52.532810s,0.6,S
727,J2257+077,U,A,22h57m17.303120s,07d43m12.302840s,0.4,S
728,J2258-279,U,B,22h58m05.962888s,-27d58m21.256750s,2.6,P
729,J2307+325,U,A,23h07m15.912560s,32d30m31.936840s,0.4,W
730,J2307-415,U,T,23h07m54.3358s,-41d32m42.812s,0.0,X
731,J2311+344,U,B,23h11m05.3290s,34d25m10.900s,0.6,S
732,J2311+457,U,A,23h11m47.408957s,45d43m56.016320s,0.6,S
733,J2314-449,U,B,23h14m09.382807s,-44d55m49.237720s,0.62,S
734,J2320+052,U,A,23h20m44.856598s,05d13m49.952660s,1.1,P
735,J2321+275,U,A,23h21m59.862235s,27d32m46.443430s,0.6,S
736,J2322+509,U,A,23h22m25.982159s,50d57m51.963710s,1.6,S
737,J2322+082,U,A,23h22m36.089472s,08d12m01.592800s,0.5,S
738,J2323-032,U,A,23h23m31.953757s,-03d17m05.023800s,0.7,S
739,J2325+437,U,T,23h25m42.3260s,43d46m58.810s,0.0,X
740,J2327+096,U,A,23h27m33.580579s,09d40m09.462780s,1.1,P
741,J2327-147,U,A,23h27m47.964268s,-14d47m55.750680s,0.5,S
742,J2330+338,U,A,23h30m13.737653s,33d48m36.471770s,0.8,S
743,J2330+110,U,A,23h30m40.852257s,11d00m18.709840s,0.9,S
744,J2331-159,U,A,23h31m38.652436s,-15d56m57.009520s,0.7,S
745,J2333-237,U,A,23h33m55.237807s,-23d43m40.657990s,0.9,S
746,J2334+076,U,A,23h34m12.828194s,07d36m27.552040s,1.3,P
747,J2339-331,U,C,23h39m54.5330s,-33d10m16.900s,0.4,S
748,J2340+266,U,A,23h40m29.029462s,26d41m56.804850s,0.4,S
749,J2343+538,U,T,23h43m48.3973s,53d48m40.791s,0.0,X
750,J2344+824,U,C,23h44m03.7718s,82d26m40.401s,0.4,W
751,J2345+659,U,T,23h45m34.0218s,65d57m18.413s,0.0,X
752,J2346+095,U,A,23h46m36.838558s,09d30m45.514970s,1.2,S
753,J2348-165,U,B,23h48m02.608516s,-16d31m12.022020s,1.8,P
754,J2349+387,U,A,23h49m20.826537s,38d49m17.558430s,0.6,S
755,J2350+646,U,T,23h50m54.9176s,64d40m17.830s,0.0,X
756,J2354+458,U,A,23h54m21.680266s,45d53m04.236530s,1.2,S
757,J2354-152,U,A,23h54m30.195190s,-15d13m11.213010s,0.6,S
758,J2355+498,U,B,23h55m09.458169s,49d50m08.340000s,0.9,S
759,J2356+818,U,A,23h56m22.793779s,81d52m52.255210s,0.5,W
760,J2357-114,U,A,23h57m31.197570s,-11d25m39.176340s,0.8,S
761,J2358-103,U,A,23h58m10.882409s,-10d20m08.611260s,1.15,P
762,J2358+199,U,A,23h58m46.085139s,19d55m20.302110s,0.5,S
