Index,Name,Band,PC,RA,DEC,Flux,Quality
718,J2246-121,U,A,22h46m18.231976s,-12d06m51.277340s,2.6,P
724,J2253+161,U,A,22h53m57.747932s,16d08m53.560890s,15.0,P
728,J2258-279,U,B,22h58m05.962888s,-27d58m21.256750s,2.6,P
734,J2320+052,U,A,23h20m44.856598s,05d13m49.952660s,1.1,P
736,J2322+509,U,A,23h22m25.982159s,50d57m51.963710s,1.6,S
740,J2327+096,U,A,23h27m33.580579s,09d40m09.462780s,1.1,P
746,J2334+076,U,A,23h34m12.828194s,07d36m27.552040s,1.3,P
752,J2346+095,U,A,23h46m36.838558s,09d30m45.514970s,1.2,S
753,J2348-165,U,B,23h48m02.608516s,-16d31m12.022020s,1.8,P
756,J2354+458,U,A,23h54m21.680266s,45d53m04.236530s,1.2,S
761,J2358-103,U,A,23h58m10.882409s,-10d20m08.611260s,1.15,P
